key,src,svc_recv_ts,ts,v1,ts_datetime,svc_recv_ts_datetime,status,code,message,trace_id,detail
001y0803,dev,1757920860960.0,1757920859425.0,6.458,2025-09-15 15:20:59,2025-09-15 15:21:00,,,,,
001y0803,dev,1757921221090.0,1757921159434.0,6.243,2025-09-15 15:25:59,2025-09-15 15:27:01,,,,,
001y0803,dev,1757921460624.0,1757921459427.0,0.108,2025-09-15 15:30:59,2025-09-15 15:31:00,,,,,
001y0803,dev,1757921820976.0,1757921759431.0,0.108,2025-09-15 15:35:59,2025-09-15 15:37:00,,,,,
001y0803,dev,1757922121005.0,1757922059894.0,0.107,2025-09-15 15:40:59,2025-09-15 15:42:01,,,,,
001y0803,dev,1757922421119.0,1757922359888.0,6.361,2025-09-15 15:45:59,2025-09-15 15:47:01,,,,,
001y0803,dev,1757922720967.0,1757922659897.0,6.273,2025-09-15 15:50:59,2025-09-15 15:52:00,,,,,
001y0803,dev,1757923020988.0,1757922959895.0,6.293,2025-09-15 15:55:59,2025-09-15 15:57:00,,,,,
001y0803,dev,1757923260712.0,1757923259894.0,6.281,2025-09-15 16:00:59,2025-09-15 16:01:00,,,,,
001y0803,dev,1757923560936.0,1757923559897.0,6.234,2025-09-15 16:05:59,2025-09-15 16:06:00,,,,,
001y0803,dev,1757923861101.0,1757923859890.0,6.321,2025-09-15 16:10:59,2025-09-15 16:11:01,,,,,
001y0803,dev,1757924161038.0,1757924159894.0,6.341,2025-09-15 16:15:59,2025-09-15 16:16:01,,,,,
001y0803,dev,1757924460958.0,1757924459893.0,6.311,2025-09-15 16:20:59,2025-09-15 16:21:00,,,,,
001y0803,dev,1757924761192.0,1757924759897.0,6.346,2025-09-15 16:25:59,2025-09-15 16:26:01,,,,,
001y0803,dev,1757925061010.0,1757925059895.0,6.262,2025-09-15 16:30:59,2025-09-15 16:31:01,,,,,
001y0803,dev,1757925361162.0,1757925359894.0,6.13,2025-09-15 16:35:59,2025-09-15 16:36:01,,,,,
001y0803,dev,1757925661403.0,1757925659888.0,6.229,2025-09-15 16:40:59,2025-09-15 16:41:01,,,,,
001y0803,dev,1757925961541.0,1757925959896.0,6.315,2025-09-15 16:45:59,2025-09-15 16:46:01,,,,,
001y0803,dev,1757926261461.0,1757926259890.0,6.332,2025-09-15 16:50:59,2025-09-15 16:51:01,,,,,
001y0803,dev,1757926561601.0,1757926559894.0,6.362,2025-09-15 16:55:59,2025-09-15 16:56:01,,,,,
001y0803,dev,1757926861401.0,1757926859897.0,6.463,2025-09-15 17:00:59,2025-09-15 17:01:01,,,,,
001y0803,dev,1757927220215.0,1757927159896.0,6.474,2025-09-15 17:05:59,2025-09-15 17:07:00,,,,,
001y0803,dev,1757927520158.0,1757927459895.0,6.456,2025-09-15 17:10:59,2025-09-15 17:12:00,,,,,
001y0803,dev,1757927819975.0,1757927759894.0,6.632,2025-09-15 17:15:59,2025-09-15 17:16:59,,,,,
001y0803,dev,1757928120225.0,1757928059892.0,6.6,2025-09-15 17:20:59,2025-09-15 17:22:00,,,,,
001y0803,dev,1757928420651.0,1757928359891.0,6.735,2025-09-15 17:25:59,2025-09-15 17:27:00,,,,,
001y0803,dev,1757928720627.0,1757928659895.0,6.755,2025-09-15 17:30:59,2025-09-15 17:32:00,,,,,
001y0803,dev,1757929020639.0,1757928959894.0,6.754,2025-09-15 17:35:59,2025-09-15 17:37:00,,,,,
001y0803,dev,1757929320649.0,1757929259888.0,6.769,2025-09-15 17:40:59,2025-09-15 17:42:00,,,,,
001y0803,dev,1757929620580.0,1757929559897.0,6.743,2025-09-15 17:45:59,2025-09-15 17:47:00,,,,,
001y0803,dev,1757929920613.0,1757929859900.0,6.993,2025-09-15 17:50:59,2025-09-15 17:52:00,,,,,
001y0803,dev,1757930220646.0,1757930159889.0,6.721,2025-09-15 17:55:59,2025-09-15 17:57:00,,,,,
001y0803,dev,1757930520594.0,1757930459893.0,6.68,2025-09-15 18:00:59,2025-09-15 18:02:00,,,,,
001y0803,dev,1757930820610.0,1757930759896.0,6.673,2025-09-15 18:05:59,2025-09-15 18:07:00,,,,,
001y0803,dev,1757931120657.0,1757931059891.0,6.712,2025-09-15 18:10:59,2025-09-15 18:12:00,,,,,
001y0803,dev,1757931420706.0,1757931359895.0,6.625,2025-09-15 18:15:59,2025-09-15 18:17:00,,,,,
001y0803,dev,1757931721015.0,1757931659898.0,6.902,2025-09-15 18:20:59,2025-09-15 18:22:01,,,,,
001y0803,dev,1757932021075.0,1757931959891.0,6.975,2025-09-15 18:25:59,2025-09-15 18:27:01,,,,,
001y0803,dev,1757932260690.0,1757932259896.0,11.082,2025-09-15 18:30:59,2025-09-15 18:31:00,,,,,
001y0803,dev,1757932621036.0,1757932559889.0,6.687,2025-09-15 18:35:59,2025-09-15 18:37:01,,,,,
001y0803,dev,1757932921049.0,1757932859893.0,6.748,2025-09-15 18:40:59,2025-09-15 18:42:01,,,,,
001y0803,dev,1757933160788.0,1757933159898.0,15.497,2025-09-15 18:45:59,2025-09-15 18:46:00,,,,,
001y0803,dev,1757933521026.0,1757933459901.0,6.794,2025-09-15 18:50:59,2025-09-15 18:52:01,,,,,
001y0803,dev,1757933821063.0,1757933759889.0,6.795,2025-09-15 18:55:59,2025-09-15 18:57:01,,,,,
001y0803,dev,1757934060795.0,1757934059893.0,6.793,2025-09-15 19:00:59,2025-09-15 19:01:00,,,,,
001y0803,dev,1757934361204.0,1757934359892.0,6.905,2025-09-15 19:05:59,2025-09-15 19:06:01,,,,,
001y0803,dev,1757934661034.0,1757934659892.0,7.15,2025-09-15 19:10:59,2025-09-15 19:11:01,,,,,
001y0803,dev,1757934961193.0,1757934959891.0,6.83,2025-09-15 19:15:59,2025-09-15 19:16:01,,,,,
001y0803,dev,1757935261100.0,1757935259894.0,6.743,2025-09-15 19:20:59,2025-09-15 19:21:01,,,,,
001y0803,dev,1757935561058.0,1757935559893.0,6.778,2025-09-15 19:25:59,2025-09-15 19:26:01,,,,,
001y0803,dev,1757935861064.0,1757935859892.0,6.795,2025-09-15 19:30:59,2025-09-15 19:31:01,,,,,
001y0803,dev,1757936161122.0,1757936159890.0,6.81,2025-09-15 19:35:59,2025-09-15 19:36:01,,,,,
001y0803,dev,1757936461158.0,1757936459894.0,6.855,2025-09-15 19:40:59,2025-09-15 19:41:01,,,,,
001y0803,dev,1757936761063.0,1757936759893.0,6.864,2025-09-15 19:45:59,2025-09-15 19:46:01,,,,,
001y0803,dev,1757937061122.0,1757937059892.0,6.799,2025-09-15 19:50:59,2025-09-15 19:51:01,,,,,
001y0803,dev,1757937361156.0,1757937359890.0,6.887,2025-09-15 19:55:59,2025-09-15 19:56:01,,,,,
001y0803,dev,1757937661058.0,1757937659894.0,6.838,2025-09-15 20:00:59,2025-09-15 20:01:01,,,,,
001y0803,dev,1757937961229.0,1757937959888.0,6.84,2025-09-15 20:05:59,2025-09-15 20:06:01,,,,,
001y0803,dev,1757938261557.0,1757938259897.0,6.807,2025-09-15 20:10:59,2025-09-15 20:11:01,,,,,
001y0803,dev,1757938561604.0,1757938559901.0,6.812,2025-09-15 20:15:59,2025-09-15 20:16:01,,,,,
001y0803,dev,1757938861510.0,1757938859895.0,6.909,2025-09-15 20:20:59,2025-09-15 20:21:01,,,,,
001y0803,dev,1757939220312.0,1757939159893.0,6.901,2025-09-15 20:25:59,2025-09-15 20:27:00,,,,,
001y0803,dev,1757939520344.0,1757939459897.0,0.0,2025-09-15 20:30:59,2025-09-15 20:32:00,,,,,
001y0803,dev,1757939820289.0,1757939759896.0,0.0,2025-09-15 20:35:59,2025-09-15 20:37:00,,,,,
001y0803,dev,1757940120307.0,1757940059890.0,0.0,2025-09-15 20:40:59,2025-09-15 20:42:00,,,,,
001y0803,dev,1757940420253.0,1757940359894.0,0.0,2025-09-15 20:45:59,2025-09-15 20:47:00,,,,,
001y0803,dev,1757940720393.0,1757940659893.0,0.0,2025-09-15 20:50:59,2025-09-15 20:52:00,,,,,
001y0803,dev,1757941020318.0,1757940959891.0,0.0,2025-09-15 20:55:59,2025-09-15 20:57:00,,,,,
001y0803,dev,1757941320367.0,1757941259900.0,0.0,2025-09-15 21:00:59,2025-09-15 21:02:00,,,,,
001y0803,dev,1757941620690.0,1757941559894.0,0.0,2025-09-15 21:05:59,2025-09-15 21:07:00,,,,,
001y0803,dev,1757941920837.0,1757941859893.0,0.0,2025-09-15 21:10:59,2025-09-15 21:12:00,,,,,
001y0803,dev,1757942160763.0,1757942159892.0,0.0,2025-09-15 21:15:59,2025-09-15 21:16:00,,,,,
001y0803,dev,1757942521104.0,1757942459896.0,0.0,2025-09-15 21:20:59,2025-09-15 21:22:01,,,,,
001y0803,dev,1757942821117.0,1757942759899.0,0.0,2025-09-15 21:25:59,2025-09-15 21:27:01,,,,,
001y0803,dev,1757943060837.0,1757943059892.0,0.0,2025-09-15 21:30:59,2025-09-15 21:31:00,,,,,
001y0803,dev,1757943421208.0,1757943359891.0,0.0,2025-09-15 21:35:59,2025-09-15 21:37:01,,,,,
001y0803,dev,1757943660827.0,1757943659895.0,0.0,2025-09-15 21:40:59,2025-09-15 21:41:00,,,,,
001y0803,dev,1757943961271.0,1757943959889.0,0.0,2025-09-15 21:45:59,2025-09-15 21:46:01,,,,,
001y0803,dev,1757944261584.0,1757944259888.0,0.0,2025-09-15 21:50:59,2025-09-15 21:51:01,,,,,
001y0803,dev,1757944561632.0,1757944559902.0,0.0,2025-09-15 21:55:59,2025-09-15 21:56:01,,,,,
001y0803,dev,1757944861550.0,1757944859895.0,0.0,2025-09-15 22:00:59,2025-09-15 22:01:01,,,,,
001y0803,dev,1757945161582.0,1757945159893.0,0.0,2025-09-15 22:05:59,2025-09-15 22:06:01,,,,,
001y0803,dev,1757945461649.0,1757945459892.0,0.0,2025-09-15 22:10:59,2025-09-15 22:11:01,,,,,
001y0803,dev,1757945761682.0,1757945759891.0,0.0,2025-09-15 22:15:59,2025-09-15 22:16:01,,,,,
001y0803,dev,1757946061711.0,1757946059890.0,0.0,2025-09-15 22:20:59,2025-09-15 22:21:01,,,,,
001y0803,dev,1757946361614.0,1757946359888.0,0.0,2025-09-15 22:25:59,2025-09-15 22:26:01,,,,,
001y0803,dev,1757946661544.0,1757946659897.0,0.0,2025-09-15 22:30:59,2025-09-15 22:31:01,,,,,
001y0803,dev,1757946961577.0,1757946959890.0,0.0,2025-09-15 22:35:59,2025-09-15 22:36:01,,,,,
001y0803,dev,1757947261746.0,1757947259894.0,0.0,2025-09-15 22:40:59,2025-09-15 22:41:01,,,,,
001y0803,dev,1757947561671.0,1757947559888.0,0.0,2025-09-15 22:45:59,2025-09-15 22:46:01,,,,,
001y0803,dev,1757947861586.0,1757947859896.0,0.0,2025-09-15 22:50:59,2025-09-15 22:51:01,,,,,
001y0803,dev,1757948161624.0,1757948159895.0,0.0,2025-09-15 22:55:59,2025-09-15 22:56:01,,,,,
001y0803,dev,1757948461662.0,1757948459889.0,0.0,2025-09-15 23:00:59,2025-09-15 23:01:01,,,,,
001y0803,dev,1757948820383.0,1757948759888.0,0.0,2025-09-15 23:05:59,2025-09-15 23:07:00,,,,,
001y0803,dev,1757949120382.0,1757949059896.0,0.0,2025-09-15 23:10:59,2025-09-15 23:12:00,,,,,
001y0803,dev,1757949420111.0,1757949359894.0,0.0,2025-09-15 23:15:59,2025-09-15 23:17:00,,,,,
001y0803,dev,1757949720367.0,1757949659893.0,0.0,2025-09-15 23:20:59,2025-09-15 23:22:00,,,,,
001y0803,dev,1757950020402.0,1757949959892.0,0.0,2025-09-15 23:25:59,2025-09-15 23:27:00,,,,,
001y0803,dev,1757950320849.0,1757950259896.0,0.0,2025-09-15 23:30:59,2025-09-15 23:32:00,,,,,
001y0803,dev,1757950620768.0,1757950559889.0,0.0,2025-09-15 23:35:59,2025-09-15 23:37:00,,,,,
001y0803,dev,1757950920813.0,1757950859893.0,0.0,2025-09-15 23:40:59,2025-09-15 23:42:00,,,,,
001y0803,dev,1757951220830.0,1757951159892.0,0.0,2025-09-15 23:45:59,2025-09-15 23:47:00,,,,,
001y0803,dev,1757951520757.0,1757951459895.0,0.0,2025-09-15 23:50:59,2025-09-15 23:52:00,,,,,
001y0803,dev,1757951820787.0,1757951759894.0,0.0,2025-09-15 23:55:59,2025-09-15 23:57:00,,,,,
001y0803,dev,1757952120817.0,1757952059897.0,0.0,2025-09-16 00:00:59,2025-09-16 00:02:00,,,,,
001y0803,dev,1757952420871.0,1757952359895.0,0.0,2025-09-16 00:05:59,2025-09-16 00:07:00,,,,,
001y0803,dev,1757952720781.0,1757952659894.0,0.0,2025-09-16 00:10:59,2025-09-16 00:12:00,,,,,
001y0803,dev,1757953020918.0,1757952959892.0,0.0,2025-09-16 00:15:59,2025-09-16 00:17:00,,,,,
001y0803,dev,1757953321284.0,1757953259891.0,0.0,2025-09-16 00:20:59,2025-09-16 00:22:01,,,,,
001y0803,dev,1757953621190.0,1757953559894.0,0.0,2025-09-16 00:25:59,2025-09-16 00:27:01,,,,,
001y0803,dev,1757953921326.0,1757953859893.0,0.0,2025-09-16 00:30:59,2025-09-16 00:32:01,,,,,
001y0803,dev,1757954221272.0,1757954159897.0,0.0,2025-09-16 00:35:59,2025-09-16 00:37:01,,,,,
001y0803,dev,1757954460887.0,1757954459900.0,0.0,2025-09-16 00:40:59,2025-09-16 00:41:00,,,,,
001y0803,dev,1757954821230.0,1757954759894.0,0.0,2025-09-16 00:45:59,2025-09-16 00:47:01,,,,,
001y0803,dev,1757955060857.0,1757955059892.0,0.0,2025-09-16 00:50:59,2025-09-16 00:51:00,,,,,
001y0803,dev,1757955421204.0,1757955359900.0,0.0,2025-09-16 00:55:59,2025-09-16 00:57:01,,,,,
001y0803,dev,1757955721217.0,1757955659888.0,0.0,2025-09-16 01:00:59,2025-09-16 01:02:01,,,,,
001y0803,dev,1757955960960.0,1757955959897.0,0.0,2025-09-16 01:05:59,2025-09-16 01:06:00,,,,,
001y0803,dev,1757956261294.0,1757956259890.0,0.0,2025-09-16 01:10:59,2025-09-16 01:11:01,,,,,
001y0803,dev,1757956561222.0,1757956559888.0,0.0,2025-09-16 01:15:59,2025-09-16 01:16:01,,,,,
001y0803,dev,1757956861243.0,1757956859897.0,0.0,2025-09-16 01:20:59,2025-09-16 01:21:01,,,,,
001y0803,dev,1757957161307.0,1757957159890.0,0.0,2025-09-16 01:25:59,2025-09-16 01:26:01,,,,,
001y0803,dev,1757957461233.0,1757957459889.0,0.0,2025-09-16 01:30:59,2025-09-16 01:31:01,,,,,
001y0803,dev,1757957761240.0,1757957759897.0,0.0,2025-09-16 01:35:59,2025-09-16 01:36:01,,,,,
001y0803,dev,1757958061403.0,1757958059891.0,0.0,2025-09-16 01:40:59,2025-09-16 01:41:01,,,,,
001y0803,dev,1757958361714.0,1757958359889.0,0.0,2025-09-16 01:45:59,2025-09-16 01:46:01,,,,,
001y0803,dev,1757958661663.0,1757958659892.0,0.0,2025-09-16 01:50:59,2025-09-16 01:51:01,,,,,
001y0803,dev,1757959020457.0,1757958959895.0,0.0,2025-09-16 01:55:59,2025-09-16 01:57:00,,,,,
001y0803,dev,1757959320513.0,1757959259888.0,0.0,2025-09-16 02:00:59,2025-09-16 02:02:00,,,,,
001y0803,dev,1757959620852.0,1757959559897.0,0.0,2025-09-16 02:05:59,2025-09-16 02:07:00,,,,,
001y0803,dev,1757959920864.0,1757959859890.0,0.0,2025-09-16 02:10:59,2025-09-16 02:12:00,,,,,
001y0803,dev,1757960220816.0,1757960159894.0,0.0,2025-09-16 02:15:59,2025-09-16 02:17:00,,,,,
001y0803,dev,1757960520951.0,1757960459892.0,0.0,2025-09-16 02:20:59,2025-09-16 02:22:00,,,,,
001y0803,dev,1757960820884.0,1757960759896.0,0.0,2025-09-16 02:25:59,2025-09-16 02:27:00,,,,,
001y0803,dev,1757961120897.0,1757961059894.0,0.0,2025-09-16 02:30:59,2025-09-16 02:32:00,,,,,
001y0803,dev,1757961420846.0,1757961359892.0,0.0,2025-09-16 02:35:59,2025-09-16 02:37:00,,,,,
001y0803,dev,1757961720879.0,1757961659896.0,0.0,2025-09-16 02:40:59,2025-09-16 02:42:00,,,,,
001y0803,dev,1757962021010.0,1757961959894.0,0.0,2025-09-16 02:45:59,2025-09-16 02:47:01,,,,,
001y0803,dev,1757962260940.0,1757962259892.0,0.0,2025-09-16 02:50:59,2025-09-16 02:51:00,,,,,
001y0803,dev,1757962560961.0,1757962559891.0,0.0,2025-09-16 02:55:59,2025-09-16 02:56:00,,,,,
001y0803,dev,1757962860984.0,1757962859889.0,0.0,2025-09-16 03:00:59,2025-09-16 03:01:00,,,,,
001y0803,dev,1757963221367.0,1757963159893.0,0.0,2025-09-16 03:05:59,2025-09-16 03:07:01,,,,,
001y0803,dev,1757963521263.0,1757963459890.0,0.0,2025-09-16 03:10:59,2025-09-16 03:12:01,,,,,
001y0803,dev,1757963760925.0,1757963759899.0,0.0,2025-09-16 03:15:59,2025-09-16 03:16:00,,,,,
001y0803,dev,1757964121373.0,1757964059897.0,0.0,2025-09-16 03:20:59,2025-09-16 03:22:01,,,,,
001y0803,dev,1757964360956.0,1757964359895.0,0.0,2025-09-16 03:25:59,2025-09-16 03:26:00,,,,,
001y0803,dev,1757964721301.0,1757964659899.0,0.0,2025-09-16 03:30:59,2025-09-16 03:32:01,,,,,
001y0803,dev,1757964961022.0,1757964959892.0,0.0,2025-09-16 03:35:59,2025-09-16 03:36:01,,,,,
001y0803,dev,1757965321412.0,1757965259891.0,0.0,2025-09-16 03:40:59,2025-09-16 03:42:01,,,,,
001y0803,dev,1757965560986.0,1757965559894.0,0.0,2025-09-16 03:45:59,2025-09-16 03:46:00,,,,,
001y0803,dev,1757965921351.0,1757965859893.0,0.0,2025-09-16 03:50:59,2025-09-16 03:52:01,,,,,
001y0803,dev,1757966221276.0,1757966159896.0,0.0,2025-09-16 03:55:59,2025-09-16 03:57:01,,,,,
001y0803,dev,1757966521288.0,1757966459894.0,0.0,2025-09-16 04:00:59,2025-09-16 04:02:01,,,,,
001y0803,dev,1757966821425.0,1757966759888.0,0.0,2025-09-16 04:05:59,2025-09-16 04:07:01,,,,,
001y0803,dev,1757967121393.0,1757967059896.0,0.0,2025-09-16 04:10:59,2025-09-16 04:12:01,,,,,
001y0803,dev,1757967361018.0,1757967359894.0,0.0,2025-09-16 04:15:59,2025-09-16 04:16:01,,,,,
001y0803,dev,1757967661316.0,1757967659887.0,0.0,2025-09-16 04:20:59,2025-09-16 04:21:01,,,,,
001y0803,dev,1757967961388.0,1757967959896.0,0.0,2025-09-16 04:25:59,2025-09-16 04:26:01,,,,,
001y0803,dev,1757968261382.0,1757968259889.0,0.0,2025-09-16 04:30:59,2025-09-16 04:31:01,,,,,
001y0803,dev,1757968561413.0,1757968559892.0,0.0,2025-09-16 04:35:59,2025-09-16 04:36:01,,,,,
001y0803,dev,1757968861363.0,1757968859896.0,0.0,2025-09-16 04:40:59,2025-09-16 04:41:01,,,,,
001y0803,dev,1757969161409.0,1757969159894.0,0.0,2025-09-16 04:45:59,2025-09-16 04:46:01,,,,,
001y0803,dev,1757969461431.0,1757969459893.0,0.0,2025-09-16 04:50:59,2025-09-16 04:51:01,,,,,
001y0803,dev,1757969761374.0,1757969759891.0,0.0,2025-09-16 04:55:59,2025-09-16 04:56:01,,,,,
001y0803,dev,1757970061392.0,1757970059895.0,0.0,2025-09-16 05:00:59,2025-09-16 05:01:01,,,,,
001y0803,dev,1757970361306.0,1757970359893.0,0.0,2025-09-16 05:05:59,2025-09-16 05:06:01,,,,,
001y0803,dev,1757970661340.0,1757970659902.0,0.0,2025-09-16 05:10:59,2025-09-16 05:11:01,,,,,
001y0803,dev,1757970961398.0,1757970959895.0,0.0,2025-09-16 05:15:59,2025-09-16 05:16:01,,,,,
001y0803,dev,1757971261342.0,1757971259893.0,0.0,2025-09-16 05:20:59,2025-09-16 05:21:01,,,,,
001y0803,dev,1757971561486.0,1757971559896.0,0.0,2025-09-16 05:25:59,2025-09-16 05:26:01,,,,,
001y0803,dev,1757971861807.0,1757971859894.0,0.0,2025-09-16 05:30:59,2025-09-16 05:31:01,,,,,
001y0803,dev,1757972161815.0,1757972159893.0,0.0,2025-09-16 05:35:59,2025-09-16 05:36:01,,,,,
001y0803,dev,1757972461770.0,1757972459891.0,0.0,2025-09-16 05:40:59,2025-09-16 05:41:01,,,,,
001y0803,dev,1757972761816.0,1757972759895.0,0.0,2025-09-16 05:45:59,2025-09-16 05:46:01,,,,,
001y0803,dev,1757973120590.0,1757973059888.0,0.0,2025-09-16 05:50:59,2025-09-16 05:52:00,,,,,
001y0803,dev,1757973421033.0,1757973359891.0,0.0,2025-09-16 05:55:59,2025-09-16 05:57:01,,,,,
001y0803,dev,1757973720963.0,1757973659895.0,0.0,2025-09-16 06:00:59,2025-09-16 06:02:00,,,,,
001y0803,dev,1757974020923.0,1757973959888.0,0.0,2025-09-16 06:05:59,2025-09-16 06:07:00,,,,,
001y0803,dev,1757974320928.0,1757974259897.0,0.0,2025-09-16 06:10:59,2025-09-16 06:12:00,,,,,
001y0803,dev,1757974620962.0,1757974559895.0,0.0,2025-09-16 06:15:59,2025-09-16 06:17:00,,,,,
001y0803,dev,1757974920996.0,1757974859889.0,0.0,2025-09-16 06:20:59,2025-09-16 06:22:00,,,,,
001y0803,dev,1757975220928.0,1757975159887.0,0.0,2025-09-16 06:25:59,2025-09-16 06:27:00,,,,,
001y0803,dev,1757975520961.0,1757975459890.0,0.0,2025-09-16 06:30:59,2025-09-16 06:32:00,,,,,
001y0803,dev,1757975821014.0,1757975759893.0,0.0,2025-09-16 06:35:59,2025-09-16 06:37:01,,,,,
001y0803,dev,1757976121136.0,1757976059891.0,0.0,2025-09-16 06:40:59,2025-09-16 06:42:01,,,,,
001y0803,dev,1757976421376.0,1757976359895.0,0.0,2025-09-16 06:45:59,2025-09-16 06:47:01,,,,,
001y0803,dev,1757976721502.0,1757976659893.0,0.0,2025-09-16 06:50:59,2025-09-16 06:52:01,,,,,
001y0803,dev,1757977021347.0,1757976959891.0,0.0,2025-09-16 06:55:59,2025-09-16 06:57:01,,,,,
001y0803,dev,1757977261179.0,1757977259890.0,6.935,2025-09-16 07:00:59,2025-09-16 07:01:01,,,,,
001y0803,dev,1757977561420.0,1757977559888.0,11.367,2025-09-16 07:05:59,2025-09-16 07:06:01,,,,,
001y0803,dev,1757977861469.0,1757977859897.0,11.011,2025-09-16 07:10:59,2025-09-16 07:11:01,,,,,
001y0803,dev,1757978161374.0,1757978159895.0,11.027,2025-09-16 07:15:59,2025-09-16 07:16:01,,,,,
001y0803,dev,1757978461626.0,1757978459893.0,11.048,2025-09-16 07:20:59,2025-09-16 07:21:01,,,,,
001y0803,dev,1757978761831.0,1757978759892.0,10.99,2025-09-16 07:25:59,2025-09-16 07:26:01,,,,,
001y0803,dev,1757979120554.0,1757979059895.0,10.933,2025-09-16 07:30:59,2025-09-16 07:32:00,,,,,
