time,IA,IB,IC,Power,PF,kVAh,I_mean,I_imbalance,dI_dt,kVAh_rate,PF_abs,cluster,state
2025-09-15 15:10:00,,,,0.1413333333333333,0.8210000000000001,0.026,,,,,0.8210000000000001,-1,Off
2025-09-15 15:15:00,,,,0.14,0.822,0.0395,,,,0.013500000000000002,0.822,-1,Off
2025-09-15 15:20:00,7.71,10.033,6.458,1.7510000000000001,0.76475,0.12075,8.067,22.487176369645915,,0.08124999999999999,0.76475,1,Running_High
2025-09-15 15:25:00,7.538,9.837,6.243,2.16575,0.7525,0.349,7.872666666666667,23.120788450767733,-0.1943333333333328,0.22824999999999998,0.7525,3,Running_Low
2025-09-15 15:30:00,1.414,1.445,0.108,0.6759999999999999,0.56925,0.495,0.989,77.16135578997778,-6.8836666666666675,0.14600000000000002,0.56925,2,Off
2025-09-15 15:35:00,1.412,1.442,0.108,0.2755,0.76925,0.5255000000000001,0.9873333333333334,77.14443490389681,-0.0016666666666665941,0.030500000000000083,0.76925,2,Off
2025-09-15 15:40:00,1.41,1.441,0.107,0.275,0.764,0.55625,0.9860000000000001,77.2204985881524,-0.0013333333333332975,0.030749999999999944,0.764,2,Off
2025-09-15 15:45:00,7.855,10.16,6.361,1.25825,0.76425,0.63825,8.125333333333334,23.554395187374418,7.139333333333334,0.08199999999999996,0.76425,1,Running_High
2025-09-15 15:50:00,7.732,9.874,6.273,2.2135,0.758,0.8674999999999999,7.959666666666667,22.7555155643985,-0.16566666666666663,0.22924999999999995,0.758,3,Running_Low
2025-09-15 15:55:00,7.619,9.817,6.293,2.192,0.75675,1.1095,7.909666666666666,22.502721464739967,-0.05000000000000071,0.242,0.75675,0,Idle
2025-09-15 16:00:00,7.544,9.767,6.281,2.18175,0.75575,1.35,7.864,22.44269431847695,-0.04566666666666652,0.24050000000000016,0.75575,0,Idle
2025-09-15 16:05:00,7.584,9.839,6.234,2.174,0.75525,1.6019999999999999,7.885666666666668,23.096769048200887,0.021666666666668277,0.2519999999999998,0.75525,3,Running_Low
2025-09-15 16:10:00,7.531,9.688,6.321,2.169,0.75675,1.84125,7.846666666666667,21.736001972235975,-0.03900000000000148,0.23925000000000018,0.75675,0,Idle
2025-09-15 16:15:00,7.469,9.666,6.341,2.1625,0.758,2.0795,7.825333333333334,21.6080007434646,-0.02133333333333276,0.23824999999999985,0.758,0,Idle
2025-09-15 16:20:00,7.421,9.859,6.311,2.3425000000000002,0.76625,2.322,7.863666666666667,23.080192477006456,0.03833333333333311,0.24250000000000016,0.76625,1,Running_High
2025-09-15 16:25:00,9.007,11.487,6.346,2.52275,0.77325,2.5915,8.946666666666667,28.737306107964155,1.0830000000000002,0.26949999999999985,0.77325,1,Running_High
2025-09-15 16:30:00,9.077,11.463,6.262,2.34025,0.76425,2.86,8.934,29.14089028353241,-0.012666666666667936,0.26849999999999996,0.76425,1,Running_High
2025-09-15 16:35:00,7.551,9.857,6.13,2.15825,0.75575,3.11325,7.846,23.973118615293263,-1.0879999999999992,0.25325,0.75575,3,Running_Low
2025-09-15 16:40:00,7.478,9.722,6.229,2.157,0.7545,3.3514999999999997,7.809666666666666,22.66372882753801,-0.03633333333333422,0.23824999999999985,0.7545,0,Idle
