cnc_mcp_tool_name,model_name,deployment,functional_success,duration_ms,loop_count,thinking_duration_ms,thinking_char_count,answer_char_count,manual_judgement_note
tool_check_anomaly,deepseek-v4-flash,Cloud,True,19657,2,7584,172,620,
tool_check_anomaly,glm-5.1,Cloud,True,14188,2,521,111,506,
tool_check_anomaly,kimi-k2.6,Cloud,True,16893,2,11173,713,333,
tool_check_anomaly,gemma4:26b,Local,True,50826,2,30161,1328,320,
tool_check_anomaly,gemma4:31b,Local,True,240192,2,198746,926,221,
tool_check_anomaly,gpt-oss:20b,Local,True,12398,2,4088,392,575,
tool_check_anomaly,nemotron-3-nano:latest,Local,True,41151,2,31260,7505,709,
tool_check_anomaly,nemotron-cascade-2:latest,Local,True,12226,2,5685,509,419,
tool_check_anomaly,qwen3.5:9b,Local,True,16382,2,13634,582,0,
tool_check_anomaly,qwen3.6:27b,Local,True,47550,2,30152,462,249,
tool_check_anomaly,qwen3:8b,Local,True,39189,2,25391,2278,712,
tool_data_status,deepseek-v4-flash,Cloud,True,13144,2,4350,180,554,
tool_data_status,glm-5.1,Cloud,True,10874,2,87,106,201,
tool_data_status,kimi-k2.6,Cloud,True,22028,2,16510,448,283,
tool_data_status,gemma4:26b,Local,True,71077,2,31912,1474,1157,
tool_data_status,gemma4:31b,Local,True,282277,2,91066,949,1150,
tool_data_status,gpt-oss:20b,Local,True,27481,2,4665,513,1382,
tool_data_status,nemotron-3-nano:latest,Local,True,26374,2,8321,1423,1321,
tool_data_status,nemotron-cascade-2:latest,Local,True,31925,2,6139,616,380,
tool_data_status,qwen3.5:9b,Local,True,21600,2,11139,545,0,
tool_data_status,qwen3.6:27b,Local,True,62280,2,26551,509,193,
tool_data_status,qwen3:8b,Local,True,35783,2,20441,1926,528,
tool_forecast_future,deepseek-v4-flash,Cloud,True,18825,2,7354,206,461,
tool_forecast_future,glm-5.1,Cloud,True,57618,2,24842,160,389,
tool_forecast_future,kimi-k2.6,Cloud,True,11350,2,5551,389,265,
tool_forecast_future,gemma4:26b,Local,True,52305,2,40582,2864,431,
tool_forecast_future,gemma4:31b,Local,True,274282,2,183744,2794,362,
tool_forecast_future,gpt-oss:20b,Local,True,19962,2,10088,1866,901,
tool_forecast_future,nemotron-3-nano:latest,Local,False,31425,1,28762,9015,0,user_marked_question_5_fail
tool_forecast_future,nemotron-cascade-2:latest,Local,True,13480,2,7245,907,415,
tool_forecast_future,qwen3.5:9b,Local,True,12817,2,10495,424,0,
tool_forecast_future,qwen3.6:27b,Local,True,90811,2,70208,2102,383,
tool_forecast_future,qwen3:8b,Local,True,35888,2,27324,1749,437,
tool_run_state_analysis,deepseek-v4-flash,Cloud,True,23066,2,18087,721,0,
tool_run_state_analysis,glm-5.1,Cloud,True,41212,2,299,117,674,
tool_run_state_analysis,kimi-k2.6,Cloud,True,20255,2,10256,677,343,
tool_run_state_analysis,gemma4:26b,Local,True,142111,2,118599,1642,536,
tool_run_state_analysis,gemma4:31b,Local,False,302915,1,0,0,0,user_marked_question_3_fail
tool_run_state_analysis,gpt-oss:20b,Local,True,22558,2,13937,1815,643,
tool_run_state_analysis,nemotron-3-nano:latest,Local,True,49291,2,33648,6803,1694,
tool_run_state_analysis,nemotron-cascade-2:latest,Local,True,16522,2,10615,348,297,
tool_run_state_analysis,qwen3.5:9b,Local,True,19422,2,17107,355,0,
tool_run_state_analysis,qwen3.6:27b,Local,True,80138,2,47662,602,464,
tool_run_state_analysis,qwen3:8b,Local,True,46319,2,30098,1421,638,
tool_train_anomaly_detection,deepseek-v4-flash,Cloud,True,25063,2,11903,175,858,
tool_train_anomaly_detection,glm-5.1,Cloud,True,19430,2,9610,201,570,
tool_train_anomaly_detection,kimi-k2.6,Cloud,True,17697,2,12453,794,406,
tool_train_anomaly_detection,gemma4:26b,Local,True,65349,2,50046,1287,578,
tool_train_anomaly_detection,gemma4:31b,Local,True,231253,2,157653,896,817,
tool_train_anomaly_detection,gpt-oss:20b,Local,True,17297,2,1052,312,786,
tool_train_anomaly_detection,nemotron-3-nano:latest,Local,True,31383,2,19982,2989,1134,
tool_train_anomaly_detection,nemotron-cascade-2:latest,Local,True,19489,2,12559,912,507,
tool_train_anomaly_detection,qwen3.5:9b,Local,True,19179,2,15977,478,0,
tool_train_anomaly_detection,qwen3.6:27b,Local,True,52720,2,30900,619,419,
tool_train_anomaly_detection,qwen3:8b,Local,True,35988,2,26216,1238,663,
tool_train_forecast,deepseek-v4-flash,Cloud,True,20659,2,13132,102,501,
tool_train_forecast,glm-5.1,Cloud,True,11334,2,298,126,422,
tool_train_forecast,kimi-k2.6,Cloud,True,24054,2,16452,1027,407,
tool_train_forecast,gemma4:26b,Local,True,53122,2,29573,1370,451,
tool_train_forecast,gemma4:31b,Local,True,638493,2,377850,1010,336,
tool_train_forecast,gpt-oss:20b,Local,True,16100,2,5725,868,891,
tool_train_forecast,nemotron-3-nano:latest,Local,True,36070,2,29847,7718,313,
tool_train_forecast,nemotron-cascade-2:latest,Local,True,11429,2,5194,349,437,
tool_train_forecast,qwen3.5:9b,Local,True,15626,2,13104,708,0,
tool_train_forecast,qwen3.6:27b,Local,True,58636,2,33362,749,477,
tool_train_forecast,qwen3:8b,Local,True,34956,2,22247,2118,642,
tool_update_data,deepseek-v4-flash,Cloud,True,14175,2,8271,243,272,
tool_update_data,glm-5.1,Cloud,True,7296,2,191,113,91,
tool_update_data,kimi-k2.6,Cloud,True,10850,2,7614,522,147,
tool_update_data,gemma4:26b,Local,True,23102,2,15307,898,187,
tool_update_data,gemma4:31b,Local,True,63476,2,42704,681,163,
tool_update_data,gpt-oss:20b,Local,True,7788,2,4626,389,145,
tool_update_data,nemotron-3-nano:latest,Local,True,19752,2,15389,3768,194,
tool_update_data,nemotron-cascade-2:latest,Local,True,9157,2,4540,451,199,
tool_update_data,qwen3.5:9b,Local,True,10702,2,8226,309,0,
tool_update_data,qwen3.6:27b,Local,True,39979,2,28417,619,149,
tool_update_data,qwen3:8b,Local,True,23697,2,18232,1122,199,
