model_name,single_original_success_pct,single_rerun_success_pct,edge_avg_score,multi_avg_score,scenario_avg_score,notes
gemma4:26b,0.0,0.0,48.54,3.33,23.75,
gemma4:31b,0.0,0.0,28.75,36.61,42.5,
gemma4:latest,0.0,0.0,90.62,41.44,53.12,single_tool_zero_but_other_high|edge_can_score_without_tool_call|rerun_has_high_model_error_rate
gpt-oss:120b,100.0,,92.29,64.06,86.75,
gpt-oss:20b,0.0,12.5,28.75,67.25,79.56,rerun_has_high_model_error_rate
nemotron-3-nano:latest,100.0,,87.08,59.53,88.12,
nemotron-cascade-2:latest,100.0,,28.75,62.31,83.94,
qwen3.5:9b,87.5,75.0,28.75,49.67,69.38,
qwen3.6:27b,100.0,,28.75,55.75,72.06,
qwen3:8b,0.0,100.0,49.38,30.78,23.75,original_single_tool_false_negative_or_endpoint_issue
