model_label,cnc_tool_name,functional_success
gemma4:26b,check_anomaly,0.0
gemma4:26b,data_status,0.0
gemma4:26b,forecast_future,0.0
gemma4:26b,run_all,0.0
gemma4:26b,run_state_analysis,0.0
gemma4:26b,train_anomaly_detection,0.0
gemma4:26b,train_forecast,0.0
gemma4:26b,update_data,0.0
gemma4:31b,check_anomaly,0.0
gemma4:31b,data_status,0.0
gemma4:31b,forecast_future,0.0
gemma4:31b,run_all,0.0
gemma4:31b,run_state_analysis,0.0
gemma4:31b,train_anomaly_detection,0.0
gemma4:31b,train_forecast,0.0
gemma4:31b,update_data,0.0
gemma4:latest,check_anomaly,0.0
gemma4:latest,data_status,0.0
gemma4:latest,forecast_future,0.0
gemma4:latest,run_all,0.0
gemma4:latest,run_state_analysis,0.0
gemma4:latest,train_anomaly_detection,0.0
gemma4:latest,train_forecast,0.0
gemma4:latest,update_data,0.0
gpt-oss:120b,check_anomaly,1.0
gpt-oss:120b,data_status,1.0
gpt-oss:120b,forecast_future,1.0
gpt-oss:120b,run_all,1.0
gpt-oss:120b,run_state_analysis,1.0
gpt-oss:120b,train_anomaly_detection,1.0
gpt-oss:120b,train_forecast,1.0
gpt-oss:120b,update_data,1.0
gpt-oss:20b,check_anomaly,0.0
gpt-oss:20b,data_status,0.0
gpt-oss:20b,forecast_future,0.0
gpt-oss:20b,run_all,0.0
gpt-oss:20b,run_state_analysis,0.0
gpt-oss:20b,train_anomaly_detection,0.0
gpt-oss:20b,train_forecast,0.0
gpt-oss:20b,update_data,0.0
nemotron-3-nano:latest,check_anomaly,1.0
nemotron-3-nano:latest,data_status,1.0
nemotron-3-nano:latest,forecast_future,1.0
nemotron-3-nano:latest,run_all,1.0
nemotron-3-nano:latest,run_state_analysis,1.0
nemotron-3-nano:latest,train_anomaly_detection,1.0
nemotron-3-nano:latest,train_forecast,1.0
nemotron-3-nano:latest,update_data,1.0
nemotron-cascade-2:latest,check_anomaly,1.0
nemotron-cascade-2:latest,data_status,1.0
nemotron-cascade-2:latest,forecast_future,1.0
nemotron-cascade-2:latest,run_all,1.0
nemotron-cascade-2:latest,run_state_analysis,1.0
nemotron-cascade-2:latest,train_anomaly_detection,1.0
nemotron-cascade-2:latest,train_forecast,1.0
nemotron-cascade-2:latest,update_data,1.0
qwen3.5:9b,check_anomaly,1.0
qwen3.5:9b,data_status,1.0
qwen3.5:9b,forecast_future,1.0
qwen3.5:9b,run_all,1.0
qwen3.5:9b,run_state_analysis,1.0
qwen3.5:9b,train_anomaly_detection,1.0
qwen3.5:9b,train_forecast,1.0
qwen3.5:9b,update_data,0.0
qwen3.6:27b,check_anomaly,1.0
qwen3.6:27b,data_status,1.0
qwen3.6:27b,forecast_future,1.0
qwen3.6:27b,run_all,1.0
qwen3.6:27b,run_state_analysis,1.0
qwen3.6:27b,train_anomaly_detection,1.0
qwen3.6:27b,train_forecast,1.0
qwen3.6:27b,update_data,1.0
qwen3:8b,check_anomaly,0.0
qwen3:8b,data_status,0.0
qwen3:8b,forecast_future,0.0
qwen3:8b,run_all,0.0
qwen3:8b,run_state_analysis,0.0
qwen3:8b,train_anomaly_detection,0.0
qwen3:8b,train_forecast,0.0
qwen3:8b,update_data,0.0
