executed_system_tools,cnc_tool_name,runs,avg_system_tool_call_count,avg_system_tool_duration_s
,check_anomaly,4,0.0,0.0
,data_status,4,0.0,0.0
,forecast_future,4,0.0,0.0
,run_all,3,0.0,0.0
,run_state_analysis,4,0.0,0.0
,train_anomaly_detection,4,0.0,0.0
,train_forecast,4,0.0,0.0
,update_data,4,0.0,0.0
run_python,check_anomaly,2,1.0,2.4265
run_python,data_status,2,1.5,2.4575
run_python,forecast_future,2,1.0,2.8495
run_python,run_all,3,1.3333333333333333,97.48266666666667
run_python,run_state_analysis,2,1.0,5.271
run_python,train_anomaly_detection,2,1.0,8.4925
run_python,train_forecast,2,1.0,2.367
run_python,update_data,2,1.0,2.9995
