model_name,cases,avg_total_score,boundary_success_rate,hallucination_rate,avg_recognition_score,avg_recovery_score,avg_hallucination_avoidance_score,avg_tool_policy_score,avg_duration_s,avg_tool_calls,avg_thinking_chars
gemma4:26b,12,48.542,0.333,0.0,7.292,6.667,25.0,4.583,30.258,0.0,1766.0
gemma4:31b,12,28.75,0.0,0.0,0.0,0.0,25.0,3.75,2.991,0.0,0.0
gemma4:latest,12,90.625,0.917,0.0,19.792,18.333,25.0,12.917,58.071,0.667,3330.833
gpt-oss:120b,12,92.292,1.0,0.0,21.875,18.333,25.0,12.083,17.411,0.5,638.833
gpt-oss:20b,12,28.75,0.0,0.0,0.0,0.0,25.0,3.75,2.94,0.0,0.0
nemotron-3-nano:latest,12,87.083,0.833,0.167,20.833,16.667,22.5,12.083,28.532,1.75,5027.167
nemotron-cascade-2:latest,12,28.75,0.0,0.0,0.0,0.0,25.0,3.75,2.64,0.0,0.0
qwen3.5:9b,12,28.75,0.0,0.0,0.0,0.0,25.0,3.75,2.803,0.0,0.0
qwen3.6:27b,12,28.75,0.0,0.0,0.0,0.0,25.0,3.75,2.847,0.0,0.0
qwen3:8b,12,49.375,0.25,0.0,7.292,5.0,25.0,5.833,8.215,0.083,340.167
