conversation_id,model_name,turns,avg_total_score,min_total_score,context_drift_rate,avg_duration_s
anomaly_to_state_followup,gemma4:26b,5,0.0,0.0,1.0,42.848
anomaly_to_state_followup,gemma4:31b,5,44.834,0.0,0.2,274.953
anomaly_to_state_followup,gemma4:latest,5,52.332,40.0,0.0,72.333
anomaly_to_state_followup,gpt-oss:120b,5,73.334,35.0,0.0,23.947
anomaly_to_state_followup,gpt-oss:20b,5,71.334,35.0,0.0,18.37
anomaly_to_state_followup,nemotron-3-nano:latest,5,67.0,35.0,0.0,32.497
anomaly_to_state_followup,nemotron-cascade-2:latest,5,69.334,35.0,0.0,37.651
anomaly_to_state_followup,qwen3.5:9b,5,51.334,25.0,0.2,22.825
anomaly_to_state_followup,qwen3.6:27b,5,57.334,35.0,0.2,129.793
anomaly_to_state_followup,qwen3:8b,5,35.334,0.0,0.2,49.845
forecast_followup,gemma4:26b,5,8.0,0.0,0.8,61.291
forecast_followup,gemma4:31b,5,48.0,40.0,0.0,186.818
forecast_followup,gemma4:latest,5,48.0,40.0,0.0,104.364
forecast_followup,gpt-oss:120b,5,54.0,40.0,0.0,55.589
forecast_followup,gpt-oss:20b,5,56.0,40.0,0.0,28.584
forecast_followup,nemotron-3-nano:latest,5,42.0,10.0,0.2,46.2
forecast_followup,nemotron-cascade-2:latest,5,56.0,40.0,0.0,58.363
forecast_followup,qwen3.5:9b,5,48.0,40.0,0.0,71.489
forecast_followup,qwen3.6:27b,5,46.0,10.0,0.2,225.23
forecast_followup,qwen3:8b,5,55.0,55.0,0.0,51.471
state_followup,gemma4:26b,5,2.0,0.0,1.0,87.499
state_followup,gemma4:31b,5,17.0,0.0,0.8,285.418
state_followup,gemma4:latest,5,24.0,0.0,0.4,77.129
state_followup,gpt-oss:120b,5,64.834,20.0,0.2,30.641
state_followup,gpt-oss:20b,5,74.416,40.0,0.2,29.563
state_followup,nemotron-3-nano:latest,5,69.582,15.0,0.4,49.417
state_followup,nemotron-cascade-2:latest,5,61.584,40.0,0.2,45.849
state_followup,qwen3.5:9b,5,49.666,30.0,0.2,46.354
state_followup,qwen3.6:27b,5,63.916,48.75,0.0,134.13
state_followup,qwen3:8b,5,2.0,0.0,1.0,16.6
