model_name,turns,avg_total_score,pass_rate,context_drift_rate,avg_context_score,avg_duration_s,avg_tool_calls,avg_thinking_chars
gemma4:26b,15,3.333,0.0,0.933,1.333,63.879,0.067,3375.467
gemma4:31b,15,36.611,0.067,0.333,13.333,249.063,0.6,2356.133
gemma4:latest,15,41.444,0.0,0.133,17.333,84.608,0.733,3658.667
gpt-oss:120b,15,64.056,0.2,0.067,19.333,36.725,1.667,1120.067
gpt-oss:20b,15,67.25,0.267,0.067,19.333,25.506,2.4,2036.8
nemotron-3-nano:latest,15,59.527,0.333,0.2,17.333,42.705,1.733,6278.8
nemotron-cascade-2:latest,15,62.306,0.133,0.067,19.333,47.288,2.067,4074.4
qwen3.5:9b,15,49.667,0.067,0.133,18.0,46.889,1.867,468.667
qwen3.6:27b,15,55.75,0.067,0.133,17.333,163.051,0.667,2777.4
qwen3:8b,15,30.778,0.0,0.4,12.0,39.306,1.333,2375.267
