agent_model,runs,avg_overall,avg_correctness,avg_completeness,avg_readability,avg_practicality,avg_hallucination_risk,avg_duration_s,avg_tool_calls,avg_estimated_answer_tokens
gemma4:26b,8,0.0,0.0,0.0,0.0,0.0,0.0,55.845,0.0,0.0
gemma4:31b,8,0.125,0.125,0.25,0.5,0.25,0.625,148.49,0.625,12.0
gemma4:latest,8,0.5,0.25,0.5,1.5,0.625,1.875,177.936,4.0,183.75
gpt-oss:120b,8,3.625,3.625,3.562,4.562,3.5,1.938,32.291,2.125,222.375
gpt-oss:20b,8,2.85,2.912,2.975,3.562,2.625,1.625,31.217,3.75,206.375
nemotron-3-nano:latest,8,3.562,3.562,3.875,4.25,3.438,2.375,68.497,3.875,330.5
nemotron-cascade-2:latest,8,3.638,3.725,3.75,4.625,3.5,2.375,46.425,2.875,425.375
qwen3.5:9b,8,2.0,1.938,2.125,2.812,1.938,1.625,91.335,3.875,119.0
qwen3.6:27b,8,2.475,2.5,2.625,3.5,2.5,2.062,233.257,2.0,225.875
qwen3:8b,8,0.0,0.0,0.0,0.0,0.0,0.0,16.132,0.0,0.0
